gap,addr,rxtx,subaddr,count,data
11.7,4,FALSE,16,9,2e0094bd75e9332cb067db5d801841d1d84e
11.6,4,FALSE,30,2,04aaa7b0
11.7,4,TRUE,19,16,4593de013566d2acdfa9d6d19fe34188356b871215adb5e462cc87709602f237
11.8,4,TRUE,20,31,5ea3a501de537b38b9475376b506809b265531e8519c72403dfc8b03aac8c2b7b8a08b5937605d284200f2cf8993bc0d2f7817f8f3a34cfbb3028efba4e0
11.7,4,TRUE,26,31,19699f990bde7981e393238b0f5f6ccf66866d90fa530670bb119261685dd9ec9be3042b2f87d3d022dc1024962b35287f10a978460c81f7073db7fb6f07
11.7,4,TRUE,30,2,00defc38
11.7,1,FALSE,1,10,97b0a4b699a0aab91abcf7ef0630dff464c144eb
26.4,1,FALSE,1,10,bf5518354c0945024680341bf05e699541dac76a
11.7,1,FALSE,2,5,bda53f3af9a5d311eacd
26.4,1,FALSE,2,5,2c1055457046450c2224
11.6,1,FALSE,6,16,c9375889ef7595bdedfbbdbe8a9872a256cec3cb1ebe0db92ae0ec7437ee5361
26.3,1,FALSE,6,16,e051120a68ab9a52930f89da59b87a4093ad0613a36fdcb9a6ce2a8306c031f8
11.7,1,FALSE,30,2,384929cc
26.4,1,FALSE,30,2,23e016db
11.6,1,TRUE,2,5,e4578a1d33666c9a37eb
26.4,1,TRUE,2,5,e097ed625115941ce11c
11.6,1,TRUE,3,9,f327b7c7f0748812a679d80f79d5dd68dc53
26.4,1,TRUE,3,9,5fa44d768745bb2fbf39efe7182323b6ad3b
11.7,1,TRUE,20,5,52ceba8c0482934be906
26.4,1,TRUE,20,5,8acc8d44688f9872de8e
11.6,1,TRUE,30,2,7abb4fdf
26.4,1,TRUE,30,2,9afe6526
93175.8,7,FALSE,1,10,5c720dcc2b86d12fd3a4a5ec936e39edf2fcf4e3
11.7,7,FALSE,2,5,158a1aff4c36d7eec385
11.7,7,FALSE,6,25,b9f53636e2d72255b8b9db64edc0cde7b81a6ef83689f82a82494c991792b65e75cc3e2419fdf0d258131618055bd39fac93
11.7,7,FALSE,30,2,d10d14a9
11.7,7,TRUE,3,32,64b7ae0d884bf55a8e869293129bb1517b837daf948e73e13d378c814d59e7c5d861452a4ad3cdfac939506c0390aa99aaa118e2c4b4a10d3598e126a905b067
11.7,7,TRUE,20,31,971c7f26eb196f64f185e10a37118028f51ded8c24c0d76ff5dd431ca9bfa791c62fa0cf6fe30ee32cda1e3e6f324c7028aaa748d7c1e9fe5f94dfff8d63
11.7,7,TRUE,30,2,eb3602df
11.7,4,FALSE,16,9,514b4cbbe3a34ba2c8c8c08b787cd1c9c1b2
11.6,4,FALSE,30,2,56f58fe2
11.6,4,TRUE,19,16,c5006aba470d03ec1ff9537cd0f1fec029aa0f42e39217eb802e108d8103999c
11.6,4,TRUE,20,31,66fb99f1bea50781fa8cdb20b406ce76ce633db0e19307d6a1d6b72227e4bc3e438fe6b1daad412b9c8a40e682c86f0f277d058bd3ed2efe18ad3c2a8465
11.6,4,TRUE,26,31,28472ed3c1ece2bcacab5d0f51b8b9a38751061508a0fe66856d156d883b0e51277d3aace211f2286d624af620b2e11d8bd36c6f7777a336966cffd9fafc
11.6,4,TRUE,30,2,79ae575c
11.6,1,FALSE,1,10,c5eab17a10a2d4ee65c475afe028eca7637f4b57
26.4,1,FALSE,1,10,9ffe456a4edb478b6c61f1e3aa65fd8af9e5ded4
11.7,1,FALSE,2,5,dedfc0275fc454f31c4f
26.4,1,FALSE,2,5,899977c32b94205035b5
11.7,1,FALSE,6,16,b2b5ed814ed77d4fb689588d0867303e4ebb79ea843fe5d26b063dfe5ba59fe4
26.4,1,FALSE,6,16,a7048d1e1a32ee45746f041ce9f4570f0759e88035f7847c5aa340c614f2aecd
11.6,1,FALSE,30,2,c8c154ff
26.4,1,FALSE,30,2,37f36ed0
11.7,1,TRUE,2,5,dea756cf2ea3dca23abe
26.4,1,TRUE,2,5,ff4cb35ae6d55dc56ae6
11.7,1,TRUE,3,9,16dae05e6d742d23a0525f7b060a7ba2f864
26.4,1,TRUE,3,9,7c21f743a15f791f787854faf3359686b3af
11.6,1,TRUE,20,5,87c3dc110da170cd9c91
26.4,1,TRUE,20,5,0d6405d4ebb4403d720e
11.7,1,TRUE,30,2,cbe4477e
26.4,1,TRUE,30,2,5b9c238a
93172.4,7,FALSE,1,10,c9b01bcd32bfe2f8ff8e8608f87f39d036568cdf
11.7,7,FALSE,2,5,b72fa5a0717172bf969e
11.7,7,FALSE,6,25,4f6136eea2936d7d19cfb72399177534b380951694d968147457b8ad694cba9c5415e4c8210a5ea727ca312485749058d103
11.8,7,FALSE,30,2,fb6cfea5
11.7,7,TRUE,3,32,b58c92b453a1416f99dbc4fc61e9e7bfa83eb1ad6b0ce856d85fcd3b8b0aba22aa94494e9c51732e2398c768846bb89188e7d782a5f86504296690bcbb447907
11.7,7,TRUE,20,31,b14cccc0ff23680ff9fb45315111dc74224d7f3aa9b1fcc34bc4c90e75c5c090e4b51438e76360caafb9a12c48dd5c8321cc6ff5cc299071f2fe245595ec
11.8,7,TRUE,30,2,5440588c
11.8,4,FALSE,16,9,396a91fcbdd1281d496f8b2c8531cb79cb2a
11.6,4,FALSE,30,2,27c87d4b
11.6,4,TRUE,19,16,c28027b2034e62f5348dc8f1bef1f4ea47ac0083b437c890748422e4178b0b9a
11.7,4,TRUE,20,31,3a475bf9279d93c32335e3df892481e1df9a1b0f926972611878b8dc9702a30aed29d4897324b534631b9b265d152166daf39c02937a6de6a415c853cc0d
11.7,4,TRUE,26,31,75500ec29df1bd2df13df6d793a6ad01e0faa274123a8d45395a5f9bb53bb6c602a4073b84be733116cbe8730e560540dd89426ea7cc625c162a4ec5857b
11.6,4,TRUE,30,2,2e0dc03c
11.6,1,FALSE,1,10,9c49aadbee9fdb94475f6127cfddfb7e52f219bc
26.4,1,FALSE,1,10,63be59e7ff9949e4fe83232747778f7420f3499c
11.7,1,FALSE,2,5,d07f84df9c628f0e2ab0
26.4,1,FALSE,2,5,658d539bafee2c5efd0f
11.7,1,FALSE,6,16,68cb57c4eb316ff152f1052988d7a0cc7a141045ddd5e9c929a9856d308b744c
26.4,1,FALSE,6,16,c1dc82587a5cde3d500dc03bf4ecddf12bb17b09bc6321ac76da7622bd3ebeab
11.6,1,FALSE,30,2,d6bc2e13
26.4,1,FALSE,30,2,5068d838
11.6,1,TRUE,2,5,4cf676bccff5dd1b004c
26.4,1,TRUE,2,5,695ae1501efc9a10dabb
11.6,1,TRUE,3,9,5356c69b283c87bd473036973b76820d4eca
26.4,1,TRUE,3,9,d3bcd2a11814d072504bdb53da6a93dfa68f
11.7,1,TRUE,20,5,3b74454caf4c88fcf62d
26.4,1,TRUE,20,5,9c55a918847be3c21a58
11.6,1,TRUE,30,2,ac4198e1
26.4,1,TRUE,30,2,3ac5d4c6
93100.4,7,FALSE,1,10,6663668fd9ee28e78a97ceb11f7693427ad0f627
11.7,7,FALSE,2,5,737031768a3f6d330a9d
11.7,7,FALSE,6,25,65187bc0e62bf1002c2d226572fd4d000d0b874dd862cfbd6385f8d3ff7ec7c1b515c8ed29fd2fea0e73e4b8b92d82c0d8e0
11.7,7,FALSE,30,2,3ca9ca6e
11.7,7,TRUE,3,32,70ce718dd2dfa488db0631931d8e72aa37599d16dfe6156560d9b9f188a2beb8de31f31980f2e9cc409848177b185293f59294744888a80dc5e0b75e9170583b
11.7,7,TRUE,20,31,a095791e53558f994f7a787e2c5fdfe84cd35af4b6ca93691f92759ff3d6c5d2d1af9abcb801c25f684c3a0ad9fc97952d803e0365e2670f5736b9b6cd87
11.7,7,TRUE,30,2,19afb9c0
11.7,4,FALSE,16,9,9fd9373c9456f11f71a532aef03121d1124e
11.7,4,FALSE,30,2,50ce0b06
11.6,4,TRUE,19,16,27508c970fc7acb7c30d66378fd08fa28d8e41265f619f04f19650eab845f5a0
11.7,4,TRUE,20,31,98bbd3b8d3973d30504a55723e50d5f3811f3871398dba7907f8854327b78ec75382b984e669a125c09a7a7505fee1d52e756331b54d208fdffdaae636ef
11.7,4,TRUE,26,31,cd8b8f270aac07c21d4b04ff8017d006abc4cb54759753a01cf36d4f93d3e3db8d9e4e1c6c0f8207a0e75285d4383334fe3152de8d1e989a32eedd65bd57
11.6,4,TRUE,30,2,092eb713
11.6,1,FALSE,1,10,4bf2c387913ff17e35f8be53bb343ac9ea2a642b
26.4,1,FALSE,1,10,92c4e2df92d58a96eb02ea23429d22a3f8d449c8
11.7,1,FALSE,2,5,9dd2239e67cea4dad9e3
26.4,1,FALSE,2,5,f7e0d8bf71dd71949dc9
11.6,1,FALSE,6,16,fd00a6e3c21bcbe87a40767a9747a2eeb73cde31f765814e4a3f2c88337beb57
26.4,1,FALSE,6,16,3f74f623ee4616c0933334562d0aef6259af8be96c9551c199db3620d3869aa7
11.7,1,FALSE,30,2,4b6be6ea
26.4,1,FALSE,30,2,086daa94
11.6,1,TRUE,2,5,849991c492ca2b73691e
26.4,1,TRUE,2,5,3c86d741217a065e0740
11.7,1,TRUE,3,9,2ca5a5eadc6288d158348961de5fb71d1584
26.4,1,TRUE,3,9,95c5dd67b4dac144d71b82746c92349c2e53
11.7,1,TRUE,20,5,eda4409b03043d848602
26.4,1,TRUE,20,5,b28bc200cf7d71381fa2
11.6,1,TRUE,30,2,95ba359d
26.4,1,TRUE,30,2,2ed5ce8f
93129.9,7,FALSE,1,10,37e2a447e36b01e0df613117e92716aa8e433411
11.7,7,FALSE,2,5,1c8acb6d2f1ee59ceb8f
11.7,7,FALSE,6,25,7908a8716d5fb8e419af3f7a4be6ed212b95b19ee2af8af2b7a086d344a6e582fe0e6627ef229006ea4af8e7d4058e92018e
11.7,7,FALSE,30,2,34bd3c83
11.7,7,TRUE,3,32,c470b0cbd4d1e4a92309ee94e0891065308951ad2efb4edcbade9a4a7eb7a2470e623b93cac0c3f42e52402ff72b128165c9c72217a74cb8d565bebe7a72f315
11.7,7,TRUE,20,31,5592f21870826fd3262538d8ae8f7c63954ffe4c3d581e4ad72c5784bf12a155a158db8fa6255c8f6ea0233489438099f2406c287df82fd3eb67fdd996e0
11.7,7,TRUE,30,2,c13ae0c0
11.7,4,FALSE,16,9,49b28ee61201050490c1ac2e3382abdcda27
11.7,4,FALSE,30,2,2535a209
11.7,4,TRUE,19,16,a7dfd89d27ef1aab2a5e5df8a3a3e7cbad15eeca4fcdbb4ff31b589f174cfa1b
11.7,4,TRUE,20,31,b6261508f95debe50ddbf438397f4443fa7b77d67f81327193723e467d60ab3389a25573a52b55c7e9bf999e453e7f78a72c8683771ec864b13093fe3a25
11.7,4,TRUE,26,31,f76ccfd8a78efc213ed9fd40a8e05ee47b6621aedc466d312b86536263f8bd63779c629136a0b556c732b6408f4a9247aceb376ed9f6ccaccf0ada2e7523
11.7,4,TRUE,30,2,03aea0c3
11.7,1,FALSE,1,10,d686e3236ca756a2d2a8f46bb96e002e8da3ad13
26.4,1,FALSE,1,10,5c3855c20efd63139e78d681c70e5e3d63ba101c
11.7,1,FALSE,2,5,eb7fe7532d222235987b
26.4,1,FALSE,2,5,2230914a3b30d9f2ecd7
11.6,1,FALSE,6,16,0ed921dc1f4e46efe7dc8252a5f642aeb3eacb433950b4d39f49f41606234cf0
26.4,1,FALSE,6,16,39c567839633a525561e86955d6457993edcf628790dc3555197da9a375d7b81
11.6,1,FALSE,30,2,c38a0549
26.4,1,FALSE,30,2,1310a0b6
11.6,1,TRUE,2,5,e2b541b18afa3d3f099b
26.4,1,TRUE,2,5,0b5cd19fd7944d9d58e4
11.6,1,TRUE,3,9,8cfcb8457f3e26985a1ce61bca9f6923979d
26.4,1,TRUE,3,9,1e62fb03284cb036eb60437feb88e4af5724
11.7,1,TRUE,20,5,6d94746e74fe6ba28581
26.4,1,TRUE,20,5,e74e7b6b8ecb8f1828fd
11.6,1,TRUE,30,2,45e92966
26.4,1,TRUE,30,2,ce64378c
93119.8,7,FALSE,1,10,aa59152f1dd0f8ca267e2ee165efee21e7b47c5d
11.8,7,FALSE,2,5,2c96780d6ad56358db3b
11.8,7,FALSE,6,25,5514c05d341e5ab367f732d1f37b2a5859115daa19441f964e7718678feb90571cb9ad0bde3ecef934aaf86d7afc0d77433e
11.8,7,FALSE,30,2,db41ea66
11.8,7,TRUE,3,32,16a70a9d8d82041e2ff1b0f4ec5202cdbbd53f8a90718f0bf3f922617ac6427a0c586329741b73985bf7041551f6090198a7000ffd0728c76981a4bab032f874
11.7,7,TRUE,20,31,7fa1be8bd3acad2d703cbf4f4926f95966fb8be6e8b9d8e32d93f734e2c9cb7793db4196659dadf7875d16c8946e1a65d15e18121435f66f1418d091c47e
11.7,7,TRUE,30,2,9bbcc74c
11.7,4,FALSE,16,9,bb9822b8bd555abd7a74a15f924c2a43a201
11.6,4,FALSE,30,2,78759eaf
11.7,4,TRUE,19,16,0d2510ed5de598413e8189aab248d8c18e364d42ada91f76ea9dd1a87408261f
11.7,4,TRUE,20,31,4e73158ce1e707028f209a9411fdf42f8afeb9ec9eecaea72ac8540c17c3dd57328b3f4db4ac138829d6b30f057c6187cc77e9dbf58b55a826090645ebb8
11.7,4,TRUE,26,31,615ccfdcf8e0df50ecac6f11707d5b3538d1588dfb4fde35ea97a593ce058d32d39196268a7f87a752a4baaa98045151c8a2e51aa1b78caad2bb1333e394
11.7,4,TRUE,30,2,4dcf7bd6
11.7,1,FALSE,1,10,9afbd367c43729e8f46baf44f2727877c7eb29b8
26.4,1,FALSE,1,10,120c01438bc917b050a06d583c607257f9efb8b3
11.7,1,FALSE,2,5,e3ea353196cba0f630e2
26.4,1,FALSE,2,5,cce32c1fa7e38e3d02ff
11.6,1,FALSE,6,16,1d78a2c2c9b440e40630ddd11419afb7bf4a50d8102039eb291fbc960342bf8c
26.4,1,FALSE,6,16,de7957e5459a0586b09c296f4f0ab96c2fb0348da68a5a5a405f7e07ca523a1d
11.6,1,FALSE,30,2,c5cb3116
26.4,1,FALSE,30,2,d420464b
11.6,1,TRUE,2,5,4137dc403896d8975056
26.4,1,TRUE,2,5,50bfb36213f37bcc5239
11.6,1,TRUE,3,9,c5d66a0d29e23da5b7d320f6d0f155b32677
26.5,1,TRUE,3,9,38a03bf2a07c864e9ef41659b1a152948623
11.6,1,TRUE,20,5,2dae6076fa7f29295e84
26.4,1,TRUE,20,5,b316a1dc046a92d700f8
11.7,1,TRUE,30,2,ab7abc00
26.4,1,TRUE,30,2,54ac81f2
93217.5,7,FALSE,1,10,d5fb2877b1ec7f88c5c062a87b4dd1503830246f
11.7,7,FALSE,2,5,8a759c75bef05b767967
11.7,7,FALSE,6,25,d00fb61ad820271064b0dc2b6d9d05facf61fb674e3bd708077ee2ce902d4fbc485173f491786c6ac79035cd7d1619b3c6cd
11.7,7,FALSE,30,2,ccd5e01d
11.7,7,TRUE,3,32,0a52b7d15201648ca3585798647a20800a9169eb9aac4ae8a246ffd5dd123511e7ad913f85ccf2306e5bf875ee3fad2208d6b09fa28a4b4eb8a295856efa4aff
11.7,7,TRUE,20,31,0f5736efa36d9128cf1c01bc1ade4739704ffdce8be6c168f513d2b293bf2361f81347de3dc692923ff652990c3209546fe621ee3d7a10b47f0e535bff27
11.7,7,TRUE,30,2,993b5d8f
11.7,4,FALSE,16,9,fc56b74d878055a16da385b53b1a85308b18
11.6,4,FALSE,30,2,b9c7db6c
11.6,4,TRUE,19,16,14b6fa9a737a5206da18994ebb0ac4bd960d5481074f27c1cd3e53145b50232f
11.8,4,TRUE,20,31,863b7c68d125c9f0c64c1fdaf5097a147ec01de33964ea3826caa286ddea734d1aa0e7deee141d0d45df117c5cd0e6b53d6604c57f4dc3309cdf9e63edaf
11.7,4,TRUE,26,31,6627ad4274b62976200776c319b0221ef1e02b901ab6c762643448f451a2560f0dc52d42f2ac50397387ab340b3b0a50587ff4fc04b0cb8d3bb33a1a6531
11.7,4,TRUE,30,2,4cacdd3e
11.7,1,FALSE,1,10,faccee991f60ada06a8b38148975f9705b5e2038
26.4,1,FALSE,1,10,8e54c67f91fa75103489b2cf48f2d552fc587268
11.6,1,FALSE,2,5,a13925d1885d0c3159df
26.4,1,FALSE,2,5,f5a71c372e8337b4a6f2
11.6,1,FALSE,6,16,2e4722c350a7a137d636bf4ef8355dfde1561ec85e14184c67a73a9eb9b92851
26.4,1,FALSE,6,16,e92ab76f912bba0f5c114e255e6f1ecc6856c1bc69cf2c7467a312815c8e0831
11.6,1,FALSE,30,2,d589fc83
26.4,1,FALSE,30,2,4b5fc88d
11.6,1,TRUE,2,5,fa4cc644f0307b14b3cd
26.4,1,TRUE,2,5,90c3372f0d7bc84b20cb
11.7,1,TRUE,3,9,0e936b9527e425e2eb6a31f4a17d9dac5d1c
26.4,1,TRUE,3,9,5d03a3bbd616550d2fb81665ae2417d063b8
11.7,1,TRUE,20,5,0d6904737a6f0e33396b
26.4,1,TRUE,20,5,e7445f492677fd6c6483
11.7,1,TRUE,30,2,84bc3145
26.4,1,TRUE,30,2,14ebae4b
93089.7,7,FALSE,1,10,4da6470d021fd6b3ff804407259958f23347e5f4
11.8,7,FALSE,2,5,ed61346a7c2b3d37f276
11.8,7,FALSE,6,25,cdd65be1356ed6c00761059514b5a790edb3294dcd2de3e1a02f8ff91963e807026499d18abea521f1ab0ca0be1a1924ffeb
11.7,7,FALSE,30,2,6b902436
11.7,7,TRUE,3,32,b39f29691e93863bde29ec4274401bc06fdfa6a23dd050d43e4f7833c51baa9103f6992d715bceec646020f42d7e034584442b5acbebc96dabc2e851cb9ffa74
11.8,7,TRUE,20,31,fd52db2d41c0c037b03648d5f3c56e21868566542214082747c066d9a38a6528b67e99a340d843aa5dac7f0c5d12fd9ac25da80d55e91d1f1ba93602d736
11.7,7,TRUE,30,2,643c9a40
11.7,4,FALSE,16,9,00074ed32855f125071a886fef556c4b84a3
11.6,4,FALSE,30,2,0458fbe4
11.6,4,TRUE,19,16,70d980c14444a66570b1fa821bd27d2544f1cf37fb3a319a211c0c6bc4814c81
11.6,4,TRUE,20,31,bee84d0604c1abc40ad8cc85240ce315c265c935ae5f84d6a0d701e336bde9407035a90ca046f2868520cb69b0b7b29c4b5573a1acfe8e6e5e401092c4e6
11.7,4,TRUE,26,31,e6449212672190a495674492b14234edc14c8ac40bb0af93899fc81f4042af9c51fbcabb4dc9e7f50d9fe76cc51a529a2fe6651e5e41c32e86d787b4077e
11.6,4,TRUE,30,2,db9bcd22
11.6,1,FALSE,1,10,203fef7310a1acbfac9047f7083dfd7e748f3eea
26.4,1,FALSE,1,10,57fce7152babac0c48646b14b7754167c6e5de3b
11.7,1,FALSE,2,5,e9ea432f9c55041aa02f
26.4,1,FALSE,2,5,c0d496ed351826f28ce0
11.6,1,FALSE,6,16,ae9f8f51b942f6b91499019cef79810ab04ebb19b25c2b11bf132f1d76d34f4b
26.4,1,FALSE,6,16,ecd4d1bcdacd699585884ec7c6ee9edf36a7b25ffa2ee4da7ec09df0e974acfb
11.6,1,FALSE,30,2,27f4e0e0
26.4,1,FALSE,30,2,976d3e46
11.6,1,TRUE,2,5,e08db468e601cbda66b1
26.4,1,TRUE,2,5,8a77f42c75a2af37dd33
11.6,1,TRUE,3,9,6a91f4dd521b4b15c4726144f03a74b51375
26.4,1,TRUE,3,9,80fcb7082c3301fa75e9f80434df5611bedb
11.7,1,TRUE,20,5,0f1eda1eae6a5d976e4e
26.4,1,TRUE,20,5,75405df8f35885ebef78
11.6,1,TRUE,30,2,b084cfe4
26.4,1,TRUE,30,2,eda98441
93248.2,7,FALSE,1,10,314fe3a83776d93d846d13e94973768690161202
11.7,7,FALSE,2,5,57a4bf4298ab327839a4
11.7,7,FALSE,6,25,53adcc4bd6778a7915e4cdc4e74fd13ed06b17c4c5033cba340b53e213c04e1a2d5e1e842179f5854e6e2e6b19467bb82196
11.7,7,FALSE,30,2,18cefa5a
11.7,7,TRUE,3,32,06f0d4fff4100147e8bc65431dc8d7ac10cf17974131f616814f7ecbe59848433b9e3a0c6b7706d847ed6726dec6cf263f57f4d2673a7a84649542fc4f158dd7
11.7,7,TRUE,20,31,e6338a3d1f29029bc2d77a7fa5f6bfe59da1c2e574d15f6995404fd360f878361e3652e0be939d8983d0da03545de35ab299769867900c93b042b12e6b19
11.7,7,TRUE,30,2,463b41d2
11.7,4,FALSE,16,9,e6bd85f8dd8a2127cee2eaa660cdb6a1a4db
11.7,4,FALSE,30,2,edf14b73
11.6,4,TRUE,19,16,1f0a39c319aa6880c43d26a54983886f6b476c7edf20e307dbbb9ed3a86eb52c
11.6,4,TRUE,20,31,78a9abb30a7e5d242ef396824e1ea53912afc7e1bc5be6ef1949bec423f687d53c567bdbf2ca9f83eff63b4d17441c97ec0d6898714024486286d47500fe
11.7,4,TRUE,26,31,fa457cb5cab1ea269a91cf6f719e89df61eb44ede5f80dc618dea9de08c49e3111c47bcfd7997f6f10587ead791b234e01c5eb8c4dc1abbb2e04fd74370a
11.6,4,TRUE,30,2,9114d30c
11.6,1,FALSE,1,10,1cfcdd5519e71f158651b34b7b40b8d73c6520f2
26.4,1,FALSE,1,10,0a97b68b1a24aff4e51c71d6b39c5143aaa1bed3
11.7,1,FALSE,2,5,df0808942d322058398d
26.4,1,FALSE,2,5,0d13886d7f8056f9324c
11.6,1,FALSE,6,16,5488cdfdf6011bd438dd0243920315ce791e508e35b6e200d425c98c87f1a94a
26.4,1,FALSE,6,16,c9b3a81ff32b1308bace2ae1b38f784641715c5087626b12587201959066cf16
11.6,1,FALSE,30,2,6f57202f
26.4,1,FALSE,30,2,ccdc030e
11.6,1,TRUE,2,5,9d2711c35ba4c269e6a2
26.4,1,TRUE,2,5,c26f792c3623a032aed7
11.7,1,TRUE,3,9,2da9f39bdc1779672c1d7881d78084b7ffdd
26.4,1,TRUE,3,9,e4677d09905de27baac336d29d8e4f619934
11.7,1,TRUE,20,5,4ee135fa5b90ba1206ec
26.4,1,TRUE,20,5,2b7ea262149eb786c77e
11.6,1,TRUE,30,2,6503d92c
26.4,1,TRUE,30,2,bcd433a0
93067.8,7,FALSE,1,10,9e71fce911feefad32941fe156c6ae010e7fca1f
11.7,7,FALSE,2,5,f5834852c367af1d5d79
11.7,7,FALSE,6,25,cac84807e75164912709ab6a7e0604cc58fb67753521435a0d0f0b530cb7f4d8cbf3e3bf15283870a5d3e95c04ee9ba5fd5e
11.7,7,FALSE,30,2,138d538c
11.7,7,TRUE,3,32,520fea6db6b7a9d2580a2b130df1bad2862d35475aa95faa3c8a353599756aa6efae03aca434a0499cf32eb3f5d4b221ee8a228448716a83281d63cd0e2bf54c
11.6,7,TRUE,20,31,27e7b42747fe773e029613f45e194c00f7b913ba988d91390943a2f1a4f14d21fd4695b1d5d1829fdfaddc197e50a942d289ea10c657722cbaa059e4c50b
11.6,7,TRUE,30,2,b42be13b
11.6,4,FALSE,16,9,c9384b8af3d96b73a4cf89c5ef0dc1f457d9
11.7,4,FALSE,30,2,0db7f0b2
11.7,4,TRUE,19,16,8202f2c2445f9f62c8de57a075f710a994183cd3664d1d46123f9643f34e2c73
11.7,4,TRUE,20,31,eb30a60099d6e43670bb2eafe331a3c127b5d2e21097cc2c24b8e71f45a5c79258e59a4b19ed1d7d181dab0491e30f1ca10878788e1a741f83b84f703b0c
11.7,4,TRUE,26,31,55234f9a4fa935184bbfdf7ec9225913d466b5c7dc6a6e43b2560e7eb96604cd572fcc5bc55ec26ed5831bd884b5875e8f446325bb790c848988c9e78924
11.7,4,TRUE,30,2,adb357ab
11.7,1,FALSE,1,10,08996450b8bb2329939a83aa0c68f7db4d414f28
26.4,1,FALSE,1,10,3ae6882ee1985595161444cfc62eeaab7359b004
11.7,1,FALSE,2,5,cd9473be79b4fdf5d4ec
26.4,1,FALSE,2,5,cf0d6e7dc69001a926a5
11.7,1,FALSE,6,16,06b6e335945660a8dfd8080ae17259e1593c7fe5bbda82d09fbf8ec7303b7d69
26.4,1,FALSE,6,16,59cd3120744abf7e8dbad2e95f70262c41f8f96a3128ddc30f82422f34fc81ac
11.7,1,FALSE,30,2,1199ef16
26.4,1,FALSE,30,2,aad4f426
11.7,1,TRUE,2,5,8caf8ece5e7d88d8f825
26.4,1,TRUE,2,5,b2d3a520c5a264a024e9
11.6,1,TRUE,3,9,e7ff6852ff320e495b56d77eb00f4108d25e
26.4,1,TRUE,3,9,74606160abb16b05afdcb4113c403854e17d
11.7,1,TRUE,20,5,748b4fffcf3166da1b26
26.4,1,TRUE,20,5,0edda0272fa8fe334574
11.6,1,TRUE,30,2,31584256
26.4,1,TRUE,30,2,effe3626
